"id","timestamp","temperature","humidity","light","pm2_5","frc","current_speed","free_flow_speed","current_travel_time","free_flow_travel_time","confidence"
"138","2025-04-02 23:22:18","32","64","85.35","0","FRC2","66","66","430","430","1"
"139","2025-04-02 23:27:18","32","64","84.79","0","FRC2","66","66","430","430","1"
"140","2025-04-02 23:32:18","32","64","84.86","0","FRC2","66","66","430","430","1"
"141","2025-04-02 23:37:19","32","65","84.71","0","FRC2","66","66","430","430","1"
"142","2025-04-02 23:42:19","32","65","84.86","0","FRC2","66","66","430","430","1"
"143","2025-04-02 23:47:19","32","66","85.49","0","FRC2","66","66","430","430","1"
"144","2025-04-02 23:52:19","32","65","85.07","0","FRC2","66","66","430","430","1"
"145","2025-04-02 23:57:20","31","66","85.63","0","FRC2","66","66","430","430","1"
"146","2025-04-03 14:15:17","32","62","201.61","0","FRC2","51","65","557","437","1"
"147","2025-04-03 14:26:55","32","61","144.25","0","FRC2","53","65","536","437","1"
"148","2025-04-03 14:27:45","32","62","141.98","0","FRC2","53","65","536","437","1"
"149","2025-04-03 14:33:36","32","59","192.77","0","FRC2","54","66","526","430","1"
"150","2025-04-03 14:44:57","32","59","176.55","40","FRC2","51","65","557","437","1"
"151","2025-04-03 14:44:22","32","59","177.03","36","FRC2","51","65","557","437","1"
"152","2025-04-03 14:44:57","32","59","176.55","40","FRC2","51","65","557","437","1"
"153","2025-04-03 14:44:22","32","59","177.03","36","FRC2","51","65","557","437","1"
"154","2025-04-03 14:55:00","32","59","174.86","39","FRC2","52","65","546","437","1"
"155","2025-04-03 15:00:01","32","58","167.69","38","FRC2","51","65","557","437","1"
"156","2025-04-03 15:05:02","33","58","172.83","39","FRC2","51","66","557","430","1"
"157","2025-04-03 15:10:04","33","58","172.95","39","FRC2","49","66","579","430","1"
"158","2025-04-03 15:15:05","33","58","162.05","38","FRC2","47","65","604","437","1"
"159","2025-04-03 15:20:06","33","57","157.14","39","FRC2","47","66","604","430","1"
"160","2025-04-03 15:24:07","33","55","162.16","40","FRC2","46","65","617","437","1"
"161","2025-04-03 15:29:09","33","57","156.71","40","FRC2","48","66","591","430","1"
